Author,"O'Keefe, John"
Illustrator,"Van Dongen, H. R., 1920-2010"
Title,As Long As You Wish
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Psychological fiction, Time travel -- Fiction"
Category,Text
EBook-No.,24121
Release Date,"Jan 2, 2008"
Copyright Status,Public domain in the USA.
Downloads,53 downloads in the last 30 days.
Price,$0.00
