Author,"Lindsay, David, 1876-1945"
Title,A Voyage to Arcturus
Note,Wikipedia: https://en.wikipedia.org/wiki/A_Voyage_to_Arcturus
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Science fiction, Psychological fiction, Quests (Expeditions) -- Fiction, Life on other planets -- Fiction"
Category,Text
EBook-No.,1329
Release Date,"May 1, 1998"
Copyright Status,Public domain in the USA.
Downloads,467 downloads in the last 30 days.
Price,$0.00
