Author,"MacLean, Katherine, 1925-"
Title,Contagion
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Diseases -- Fiction, Space colonies -- Fiction"
Category,Text
EBook-No.,50774
Release Date,"Dec 27, 2015"
Copyright Status,Public domain in the USA.
Downloads,163 downloads in the last 30 days.
Price,$0.00
