Author,"Schmitz, James H., 1911-1981"
Illustrator,"Schoenherr, John, 1935-2010"
Title,Novice
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,Science fiction
Category,Text
EBook-No.,30458
Release Date,"Nov 12, 2009"
Copyright Status,Public domain in the USA.
Downloads,43 downloads in the last 30 days.
Price,$0.00
