Author,"Barr, Stephen"
Illustrator,"Gaughan, Jack, 1930-1985"
Title,I Am a Nucleus
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, New York (N.Y.) -- Fiction, Chance -- Fiction"
Category,Text
EBook-No.,51330
Release Date,"Feb 29, 2016"
Copyright Status,Public domain in the USA.
Downloads,32 downloads in the last 30 days.
Price,$0.00
