Author,"Reynolds, Mack, 1917-1983"
Illustrator,"Schoenherr, John, 1935-2010"
Title,Adaptation
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, American, Space colonies -- Fiction"
Category,Text
EBook-No.,24749
Release Date,"Mar 4, 2008"
Copyright Status,Public domain in the USA.
Downloads,71 downloads in the last 30 days.
Price,$0.00
