Author,"Bellamy, Edward, 1850-1898"
Title,Equality
Note,"Sequel to ""Looking Backward."""
Language,English
LoC Class,"HX: Social sciences: Socialism, Communism, Anarchism, PS: Language and Literatures: American and Canadian literature"
Subject,"Science fiction, Utopias -- Fiction, Political fiction, Utopian fiction, Socialism -- Fiction"
Category,Text
EBook-No.,7303
Release Date,"Jan 1, 2005"
Copyright Status,Public domain in the USA.
Downloads,73 downloads in the last 30 days.
Price,$0.00
