Author,"Long, Frank Belknap, 1903-1994"
Illustrator,"Arfstrom, Jon, 1928-"
Title,The Mississippi Saucer
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories"
Category,Text
EBook-No.,23568
Release Date,"Nov 20, 2007"
Copyright Status,Public domain in the USA.
Downloads,54 downloads in the last 30 days.
Price,$0.00
