Author,"Blish, James, 1921-1975"
Illustrator,"Van Dongen, H. R., 1920-2010"
Title,One-Shot
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories"
Category,Text
EBook-No.,22958
Release Date,"Oct 11, 2007"
Copyright Status,Public domain in the USA.
Downloads,85 downloads in the last 30 days.
Price,$0.00
