Author,"Piper, H. Beam, 1904-1964"
Contributor,"Carr, John F., 1944-, Clark, John D., 1907-1988"
Title,Uller Uprising
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,Science fiction
Category,Text
EBook-No.,19474
Release Date,"Oct 5, 2006"
Copyright Status,Public domain in the USA.
Downloads,173 downloads in the last 30 days.
Price,$0.00
