Author,"Nourse, Alan Edward, 1928-1992"
Title,Star Surgeon
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Extraterrestrial beings -- Fiction, Medical students -- Fiction"
Category,Text
EBook-No.,18492
Release Date,"Jun 2, 2006"
Copyright Status,Public domain in the USA.
Downloads,86 downloads in the last 30 days.
Price,$0.00
