Author,"Marlowe, Stephen, 1928-2008"
Illustrator,"Sibley, Don"
Title,Pen Pal
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Single women -- Fiction, Human-alien encounters -- Fiction"
Category,Text
EBook-No.,51286
Release Date,"Feb 23, 2016"
Copyright Status,Public domain in the USA.
Downloads,62 downloads in the last 30 days.
Price,$0.00
