Author,"Brown, Fredric, 1906-1972"
Illustrator,Carter
Title,Earthmen Bearing Gifts
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Mars (Planet) -- Fiction"
Category,Text
EBook-No.,26521
Release Date,"Sep 4, 2008"
Copyright Status,Public domain in the USA.
Downloads,99 downloads in the last 30 days.
Price,$0.00
