Author,"Garrett, Randall, 1927-1987"
Illustrator,"Schoenherr, John, 1935-2010"
Title,Nor Iron Bars a Cage....
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, New York (N.Y.) -- Fiction, Detective and mystery stories, Police -- New York (State) -- New York -- Fiction"
Category,Text
EBook-No.,30832
Release Date,"Jan 2, 2010"
Copyright Status,Public domain in the USA.
Downloads,37 downloads in the last 30 days.
Price,$0.00
