Author,"Evans, Dean"
Illustrator,"Stone, David"
Title,Not a Creature Was Stirring
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Gold miners -- Fiction, Nevada -- Fiction, Post-apocalyptic fiction"
Category,Text
EBook-No.,51396
Release Date,"Mar 8, 2016"
Copyright Status,Public domain in the USA.
Downloads,30 downloads in the last 30 days.
Price,$0.00
