Author,"Marlowe, Stephen, 1928-2008"
Illustrator,"Novick, Irving H., 1916-2004"
Title,World Beyond Pluto
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Mayhem, Johnny (Fictitious character) -- Fiction"
Category,Text
EBook-No.,32820
Release Date,"Jun 15, 2010"
Copyright Status,Public domain in the USA.
Downloads,80 downloads in the last 30 days.
Price,$0.00
