Author,"Dryfoos, Dave, 1915-2003"
Illustrator,"Harrison, Harry, 1925-2012"
Title,Bridge Crossing
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, San Francisco (Calif.) -- Fiction, Post-apocalyptic fiction"
Category,Text
EBook-No.,51241
Release Date,"Feb 17, 2016"
Copyright Status,Public domain in the USA.
Downloads,48 downloads in the last 30 days.
Price,$0.00
