Author,"Peterson, John Victor"
Title,Lost in the Future
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories"
Category,Text
EBook-No.,28645
Release Date,"Apr 30, 2009"
Copyright Status,Public domain in the USA.
Downloads,58 downloads in the last 30 days.
Price,$0.00
