Author,"Garrett, Randall, 1927-1987"
Illustrator,Douglas
Title,A Spaceship Named McGuire
Note,"Sequel is: His Master's Voice, #48513."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Robots -- Fiction, Space ships -- Fiction"
Category,Text
EBook-No.,24198
Release Date,"Jan 7, 2008"
Copyright Status,Public domain in the USA.
Downloads,54 downloads in the last 30 days.
Price,$0.00
