Author,"Wollheim, Donald A., 1914-1990"
Illustrator,"Finlay, Virgil, 1914-1971"
LoC No.,56009261
Title,One Against the Moon
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Extraterrestrial beings -- Fiction, Moon -- Fiction, Robinsonades, Stowaways -- Fiction"
Category,Text
EBook-No.,50713
Release Date,"Dec 17, 2015"
Copyright Status,Public domain in the USA.
Downloads,50 downloads in the last 30 days.
Price,$0.00
