Author,Various
Editor,"Hornig, Charles D., 1916-1999"
Title,"The Fantasy Fan, November 1933The Fans' Own Magazine"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Fantasy fiction -- History and criticism -- Periodicals, Fan magazines, Fantasy fiction -- Periodicals"
Category,Text
EBook-No.,46534
Release Date,"Aug 8, 2014"
Copyright Status,Public domain in the USA.
Downloads,85 downloads in the last 30 days.
Price,$0.00
