Author,"Garrett, Randall, 1927-1987"
Illustrator,"Berger, Charles"
Title,Belly Laugh
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories"
Category,Text
EBook-No.,28643
Release Date,"Apr 30, 2009"
Copyright Status,Public domain in the USA.
Downloads,40 downloads in the last 30 days.
Price,$0.00
