Author,"Locke, Robert Donald"
Illustrator,Douglas
Title,"Next Door, Next World"
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Psychological fiction"
Category,Text
EBook-No.,26205
Release Date,"Aug 6, 2008"
Copyright Status,Public domain in the USA.
Downloads,31 downloads in the last 30 days.
Price,$0.00
