Author,"Samachson, Joseph, 1906-1980"
Illustrator,"Emshwiller, Ed, 1925-1990"
Title,The Addicts
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Husband and wife -- Fiction, Drug addicts -- Fiction, Asteroids -- Fiction"
Category,Text
EBook-No.,51240
Release Date,"Feb 17, 2016"
Copyright Status,Public domain in the USA.
Downloads,56 downloads in the last 30 days.
Price,$0.00
