Author,"Bixby, Jerome, 1923-1998"
Illustrator,"Francis, Dick"
Title,The Holes Around Mars
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Mars (Planet) -- Fiction"
Category,Text
EBook-No.,32360
Release Date,"May 13, 2010"
Copyright Status,Public domain in the USA.
Downloads,101 downloads in the last 30 days.
Price,$0.00
