Author,"Kuykendall, Roger"
Illustrator,"Van Dongen, H. R., 1920-2010"
Title,All Day September
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Miners -- Fiction, Moon -- Fiction"
Category,Text
EBook-No.,24161
Release Date,"Jan 4, 2008"
Copyright Status,Public domain in the USA.
Downloads,35 downloads in the last 30 days.
Price,$0.00
