Author,"Dorman, Sonya, 1924-2005"
Illustrator,"Schelling, George, 1938-"
Title,The Putnam Tradition
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Short stories, Family -- Fiction, Parapsychology -- Fiction"
Category,Text
EBook-No.,26743
Release Date,"Oct 1, 2008"
Copyright Status,Public domain in the USA.
Downloads,179 downloads in the last 30 days.
Price,$0.00
