Author,"Garrett, Randall, 1927-1987"
Illustrator,"Schoenherr, John, 1935-2010"
Title,The Asses of Balaam
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories"
Category,Text
EBook-No.,30583
Release Date,"Dec 2, 2009"
Copyright Status,Public domain in the USA.
Downloads,33 downloads in the last 30 days.
Price,$0.00
