Author,"Lafferty, R. A., 1914-2002"
Illustrator,"Gaughan, Jack, 1930-1985"
Title,Dream World
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Dreams -- Fiction"
Category,Text
EBook-No.,51668
Release Date,"Apr 6, 2016"
Copyright Status,Public domain in the USA.
Downloads,74 downloads in the last 30 days.
Price,$0.00
