Author,"Garrett, Randall, 1927-1987"
Illustrator,Douglas
Title,Hanging by a Thread
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,Science fiction
Category,Text
EBook-No.,30308
Release Date,"Oct 21, 2009"
Copyright Status,Public domain in the USA.
Downloads,53 downloads in the last 30 days.
Price,$0.00
