Author,"Leinster, Murray, 1896-1975"
Title,Juju
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,Africa -- Fiction
Category,Text
EBook-No.,50719
Release Date,"Dec 19, 2015"
Copyright Status,Public domain in the USA.
Downloads,27 downloads in the last 30 days.
Price,$0.00
