Author,"Cummings, Ray, 1887-1957"
Title,Brigands of the Moon
Imprint,"Copyright, 1931, by Ray Cummings"
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,Science fiction
Category,Text
EBook-No.,19066
Release Date,"Aug 16, 2006"
Copyright Status,Public domain in the USA.
Downloads,32 downloads in the last 30 days.
Price,$0.00
