Author,"Leiber, Fritz, 1910-1992"
Illustrator,"Wood, Wallace, 1927-1981"
Title,The Creature from Cleveland Depths
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Inventors -- Fiction"
Category,Text
EBook-No.,23164
Release Date,"Oct 24, 2007"
Copyright Status,Public domain in the USA.
Downloads,103 downloads in the last 30 days.
Price,$0.00
