Author,"Boucher, Anthony, 1911-1968"
Illustrator,"Pierre, Paul"
Title,Transfer Point
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Time travel -- Fiction, Man-woman relationships -- Fiction, Post-apocalyptic fiction, Science fiction -- Authorship -- Fiction"
Category,Text
EBook-No.,51115
Release Date,"Feb 2, 2016"
Copyright Status,Public domain in the USA.
Downloads,48 downloads in the last 30 days.
Price,$0.00
