Author,"Piper, H. Beam, 1904-1964"
Illustrator,"Schoenherr, John, 1935-2010"
Title,Space Viking
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Revenge -- Fiction, Space warfare -- Fiction"
Category,Text
EBook-No.,20728
Release Date,"Mar 3, 2007"
Copyright Status,Public domain in the USA.
Downloads,211 downloads in the last 30 days.
Price,$0.00
