Author,"Aycock, Roger D., 1914-2004"
Illustrator,"Gaughan, Jack, 1930-1985"
Title,The Feeling
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Psychological fiction, Space flight to Mars -- Fiction"
Category,Text
EBook-No.,51518
Release Date,"Mar 21, 2016"
Copyright Status,Public domain in the USA.
Downloads,35 downloads in the last 30 days.
Price,$0.00
