Author,"Piper, H. Beam, 1904-1964"
Title,Four-Day Planet
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Space colonies -- Fiction"
Category,Text
EBook-No.,19478
Release Date,"Oct 6, 2006"
Copyright Status,Public domain in the USA.
Downloads,140 downloads in the last 30 days.
Price,$0.00
