Author,"McKimmey, James, 1923-2011"
Illustrator,"Orban, Paul, 1896-1974"
Title,The Eyes Have It
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories"
Category,Text
EBook-No.,30438
Release Date,"Nov 9, 2009"
Copyright Status,Public domain in the USA.
Downloads,28 downloads in the last 30 days.
Price,$0.00
