Author,"Leinster, Murray, 1896-1975"
Illustrator,"Adkins, Dan, 1937-2013"
Title,Planet of Dread
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,Science fiction
Category,Text
EBook-No.,43046
Release Date,"Jun 27, 2013"
Copyright Status,Public domain in the USA.
Downloads,39 downloads in the last 30 days.
Price,$0.00
