Author,"Savage, Arthur Dekker"
Title,The Butterfly Kiss
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, War stories"
Category,Text
EBook-No.,40991
Release Date,"Oct 9, 2012"
Copyright Status,Public domain in the USA.
Downloads,30 downloads in the last 30 days.
Price,$0.00
