Author,"Asimov, Isaac, 1920-1992"
Title,Youth
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Human-alien encounters -- Fiction"
Category,Text
EBook-No.,31547
Release Date,"Mar 7, 2010"
Copyright Status,Public domain in the USA.
Downloads,751 downloads in the last 30 days.
Price,$0.00
