Author,"Dick, Philip K., 1928-1982"
Title,Tony and the Beetles
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, War stories, Boys -- Fiction, Space colonies -- Fiction, Racism -- Fiction"
Category,Text
EBook-No.,40964
Release Date,"Oct 7, 2012"
Copyright Status,Public domain in the USA.
Downloads,183 downloads in the last 30 days.
Price,$0.00
