Author,"Sheckley, Robert, 1928-2005"
Illustrator,"Dillon, Diane, 1933-, Dillon, Leo, 1933-2012"
Title,Prospector's Special
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Prospecting -- Fiction, Venus (Planet) -- Fiction"
Category,Text
EBook-No.,51768
Release Date,"Apr 15, 2016"
Copyright Status,Public domain in the USA.
Downloads,54 downloads in the last 30 days.
Price,$0.00
