Author,"Merwin, Sam, 1910-1996"
Illustrator,"Orban, Paul, 1896-1974"
Title,The Final Figure
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Ordnance -- Fiction"
Category,Text
EBook-No.,41062
Release Date,"Oct 14, 2012"
Copyright Status,Public domain in the USA.
Downloads,31 downloads in the last 30 days.
Price,$0.00
