Author,"Reynolds, Mack, 1917-1983"
Illustrator,"Schoenherr, John, 1935-2010"
Title,Subversive
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories"
Category,Text
EBook-No.,23197
Release Date,"Oct 26, 2007"
Copyright Status,Public domain in the USA.
Downloads,32 downloads in the last 30 days.
Price,$0.00
