Author,"Cox, Irving E., 1917-2001"
Illustrator,"Van Dongen, H. R., 1920-2010"
Title,The Guardians
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Dystopias -- Fiction, Diseases -- Fiction"
Category,Text
EBook-No.,24152
Release Date,"Jan 3, 2008"
Copyright Status,Public domain in the USA.
Downloads,61 downloads in the last 30 days.
Price,$0.00
