Author,"Farmer, Philip José, 1918-2009"
Title,The Green Odyssey
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Adventure stories"
Category,Text
EBook-No.,50571
Release Date,"Nov 29, 2015"
Copyright Status,Public domain in the USA.
Downloads,71 downloads in the last 30 days.
Price,$0.00
