Author,"Verne, Jules, 1828-1905"
Uniform Title,L'île mystérieuse. English
Title,The Mysterious Island
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Science fiction, Adventure stories, Castaways -- Fiction, Islands of the Pacific -- Fiction"
Category,Text
EBook-No.,1268
Release Date,"Apr 1, 1998"
Copyright Status,Public domain in the USA.
Downloads,1097 downloads in the last 30 days.
Price,$0.00
