Author,"Aycock, Roger D., 1914-2004"
Illustrator,Barberis
Title,Rough Beast
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Extraterrestrial beings -- Fiction, Human-alien encounters -- Fiction, Florida -- Fiction"
Category,Text
EBook-No.,48880
Release Date,"May 5, 2015"
Copyright Status,Public domain in the USA.
Downloads,31 downloads in the last 30 days.
Price,$0.00
