Author,"Purdom, Tom, 1936-"
Illustrator,"Schoenherr, John, 1935-2010"
Title,The Green Beret
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Africa -- Fiction, Political fiction, Soldiers -- Fiction"
Category,Text
EBook-No.,24278
Release Date,"Jan 14, 2008"
Copyright Status,Public domain in the USA.
Downloads,31 downloads in the last 30 days.
Price,$0.00
