Author,"McKenty, Jack"
Illustrator,"Beck, Charles"
Title,"$1,000 a Plate"
Alternate Title,One Thousand Dollars a Plate
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Scientists -- Fiction, Mars (Planet) -- Fiction, Fireworks -- Fiction, Casinos -- Fiction"
Category,Text
EBook-No.,50921
Release Date,"Jan 14, 2016"
Copyright Status,Public domain in the USA.
Downloads,162 downloads in the last 30 days.
Price,$0.00
