Author,"Leinster, Murray, 1896-1975"
Illustrator,"Rosenbaum, Harry"
Title,If You Was a Moklin
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Trading posts -- Fiction, Extraterrestrial beings -- Fiction, Human-alien encounters -- Fiction"
Category,Text
EBook-No.,51752
Release Date,"Apr 13, 2016"
Copyright Status,Public domain in the USA.
Downloads,47 downloads in the last 30 days.
Price,$0.00
