Author,"Pangborn, Edgar, 1909-1976"
Illustrator,"Stone, David"
Title,Angel's Egg
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Maine -- Fiction, Human-alien encounters -- Fiction"
Category,Text
EBook-No.,51408
Release Date,"Mar 9, 2016"
Copyright Status,Public domain in the USA.
Downloads,56 downloads in the last 30 days.
Price,$0.00
