Author,"Repp, Ed Earl, 1900-1979"
Illustrator,"Beecham, Tom, 1926-2000"
Title,The Day Time Stopped Moving
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Time -- Fiction"
Category,Text
EBook-No.,27053
Release Date,"Oct 26, 2008"
Copyright Status,Public domain in the USA.
Downloads,71 downloads in the last 30 days.
Price,$0.00
