Author,"Miller, Walter M., 1923-1996"
Illustrator,"Stone, David"
Title,Conditionally Human
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Husband and wife -- Fiction, Parent and child -- Fiction, Pets -- Fiction"
Category,Text
EBook-No.,51651
Release Date,"Apr 3, 2016"
Copyright Status,Public domain in the USA.
Downloads,54 downloads in the last 30 days.
Price,$0.00
