Author,"Rocklynne, Ross, 1913-1988"
Illustrator,"Sibley, Don"
Title,Jaywalker
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Space flight to the moon -- Fiction, Husband and wife -- Fiction"
Category,Text
EBook-No.,51027
Release Date,"Jan 24, 2016"
Copyright Status,Public domain in the USA.
Downloads,31 downloads in the last 30 days.
Price,$0.00
