Author,"Cox, Irving E., 1917-2001"
Illustrator,"Orban, Paul, 1896-1974"
Title,Love Story
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Man-woman relationships -- Fiction"
Category,Text
EBook-No.,32078
Release Date,"Apr 21, 2010"
Copyright Status,Public domain in the USA.
Downloads,61 downloads in the last 30 days.
Price,$0.00
