Author,"Schmitz, James H., 1911-1981"
Illustrator,"Summers, Leo, 1925-1985"
Title,Ham Sandwich
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Parapsychology -- Fiction"
Category,Text
EBook-No.,30764
Release Date,"Dec 26, 2009"
Copyright Status,Public domain in the USA.
Downloads,39 downloads in the last 30 days.
Price,$0.00
