Author,"Curtis, Betsy, 1917-2002"
Illustrator,"Stone, David"
Title,The Protector
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Boxers (Sports) -- Fiction"
Category,Text
EBook-No.,51028
Release Date,"Jan 24, 2016"
Copyright Status,Public domain in the USA.
Downloads,56 downloads in the last 30 days.
Price,$0.00
