Author,"Leinster, Murray, 1896-1975"
Title,Space Platform
Note,Sequel: Space Tug.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, American"
Category,Text
EBook-No.,25051
Release Date,"Apr 11, 2008"
Copyright Status,Public domain in the USA.
Downloads,66 downloads in the last 30 days.
Price,$0.00
