Author,"Garrett, Randall, 1927-1987"
Title,The Destroyers
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, War stories"
Category,Text
EBook-No.,24166
Release Date,"Jan 4, 2008"
Copyright Status,Public domain in the USA.
Downloads,44 downloads in the last 30 days.
Price,$0.00
