Author,"Westlake, Donald E., 1933-2008"
Illustrator,West
Title,The Spy in the Elevator
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Post-apocalyptic fiction"
Category,Text
EBook-No.,51687
Release Date,"Apr 7, 2016"
Copyright Status,Public domain in the USA.
Downloads,52 downloads in the last 30 days.
Price,$0.00
