Author,"Burroughs, Edgar Rice, 1875-1950"
Title,The People That Time Forgot
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Lost continents -- Fiction"
Category,Text
EBook-No.,552
Release Date,"Jun 1, 1996"
Copyright Status,Public domain in the USA.
Downloads,132 downloads in the last 30 days.
Price,$0.00
