Author,"Bradley, Marion Zimmer, 1930-1999"
Illustrator,"Novick, Irving H., 1916-2004"
Title,The Planet Savers
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Life on other planets -- Fiction, Darkover (Imaginary place) -- Fiction"
Category,Text
EBook-No.,31619
Release Date,"Mar 13, 2010"
Copyright Status,Public domain in the USA.
Downloads,124 downloads in the last 30 days.
Price,$0.00
